func,grid,k,feature_idx,feature_name,test_r2,attribution,n_tp,tp_norm,tp_raw,first_tp_norm,first_tp_raw,ckpt_path
logarithm,3,8,1,Linear (x1),0.9986,0.66246,3,"[0.39616, 0.9, 1.43238]","[-0.25960944740575104, 0.9982094609484773, 2.3272774794258195]",0.39616,-0.25960944740575104,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\logarithm\g3_k8
logarithm,5,2,0,Log (x0),1.0,0.71587,0,[],[],,,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\logarithm\g5_k2
logarithm,5,2,1,Linear (x1),1.0,0.66242,1,[0.2659],[-0.5847989738471249],0.2659,-0.5847989738471249,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\logarithm\g5_k2
logarithm,5,3,0,Log (x0),1.0,0.71584,0,[],[],,,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\logarithm\g5_k3
logarithm,5,3,1,Linear (x1),1.0,0.6624,0,[],[],,,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\logarithm\g5_k3
logarithm,5,4,0,Log (x0),1.0,0.71583,0,[],[],,,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\logarithm\g5_k4
logarithm,5,4,1,Linear (x1),1.0,0.66244,1,[0.58166],[0.20348480374483105],0.58166,0.20348480374483105,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\logarithm\g5_k4
logarithm,5,5,0,Log (x0),1.0,0.71585,0,[],[],,,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\logarithm\g5_k5
logarithm,5,5,1,Linear (x1),1.0,0.66246,1,[0.4379],[-0.1554069997344556],0.4379,-0.1554069997344556,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\logarithm\g5_k5
logarithm,5,6,0,Log (x0),1.0,0.71608,1,[0.25139],[-0.6208225571097656],0.25139,-0.6208225571097656,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\logarithm\g5_k6
logarithm,5,6,1,Linear (x1),1.0,0.66228,1,[1.05971],[1.3969198806318166],1.05971,1.3969198806318166,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\logarithm\g5_k6
logarithm,5,7,0,Log (x0),1.0,0.71596,0,[],[],,,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\logarithm\g5_k7
logarithm,5,7,1,Linear (x1),1.0,0.66227,3,"[0.2659, 0.9, 1.21943]","[-0.5847989738471249, 0.9982094609484773, 1.795655264964814]",0.2659,-0.5847989738471249,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\logarithm\g5_k7
logarithm,5,8,0,Log (x0),0.9962,0.7167,3,"[0.59474, 1.22, 1.54]","[0.23656855626790016, 1.79792684242057, 2.597009866392765]",0.59474,0.23656855626790016,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\logarithm\g5_k8
logarithm,5,8,1,Linear (x1),0.9962,0.66515,3,"[0.58166, 0.9, 1.53885]","[0.20348480374483105, 0.9982094609484773, 2.593076104331493]",0.58166,0.20348480374483105,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\logarithm\g5_k8
logarithm,7,2,0,Log (x0),1.0,0.71583,0,[],[],,,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\logarithm\g7_k2
logarithm,7,2,1,Linear (x1),1.0,0.66245,2,"[0.4556, 0.68009]","[-0.11121956984030304, 0.4492118503257034]",0.4556,-0.11121956984030304,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\logarithm\g7_k2
logarithm,7,3,0,Log (x0),1.0,0.71583,0,[],[],,,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\logarithm\g7_k3
logarithm,7,3,1,Linear (x1),1.0,0.66245,1,[0.78993],[0.7234235621660267],0.78993,0.7234235621660267,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\logarithm\g7_k3
logarithm,7,4,0,Log (x0),1.0,0.71583,0,[],[],,,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\logarithm\g7_k4
logarithm,7,4,1,Linear (x1),1.0,0.66245,0,[],[],,,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\logarithm\g7_k4
logarithm,7,5,0,Log (x0),1.0,0.71584,0,[],[],,,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\logarithm\g7_k5
logarithm,7,5,1,Linear (x1),1.0,0.66242,2,"[0.34832, 0.78993]","[-0.3790403313682516, 0.7234235621660267]",0.34832,-0.3790403313682516,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\logarithm\g7_k5
logarithm,7,6,0,Log (x0),1.0,0.71588,0,[],[],,,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\logarithm\g7_k6
logarithm,7,6,1,Linear (x1),1.0,0.6623,1,[1.01408],[1.283006184243671],1.01408,1.283006184243671,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\logarithm\g7_k6
logarithm,7,7,0,Log (x0),0.9994,0.71447,3,"[0.20923, 0.78794, 1.12857]","[-0.7261017455181022, 0.7190149319911125, 1.5696138396650148]",0.20923,-0.7261017455181022,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\logarithm\g7_k7
logarithm,7,7,1,Linear (x1),0.9994,0.66459,4,"[0.34832, 0.68009, 1.01408, 1.24224]","[-0.3790403313682516, 0.4492118503257034, 1.283006184243671, 1.8525996308340582]",0.34832,-0.3790403313682516,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\logarithm\g7_k7
logarithm,7,8,0,Log (x0),0.9949,0.70983,4,"[0.31664, 0.56726, 1.01429, 1.24286]","[-0.45788453425293546, 0.1679473015842878, 1.2842413147289444, 1.855011335945584]",0.31664,-0.45788453425293546,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\logarithm\g7_k8
logarithm,7,8,1,Linear (x1),0.9949,0.67108,5,"[0.34832, 0.55621, 0.9, 1.12816, 1.35632]","[-0.3790403313682516, 0.13994977036595072, 0.9982094609484773, 1.5678029075388646, 2.1373963541292516]",0.34832,-0.3790403313682516,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\logarithm\g7_k8
logarithm,10,2,0,Log (x0),1.0,0.71583,0,[],[],,,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\logarithm\g10_k2
logarithm,10,2,1,Linear (x1),1.0,0.66243,3,"[0.35596, 0.50513, 0.6602]","[-0.35996733902975864, 0.012430339914350986, 0.39955716215651166]",0.35596,-0.35996733902975864,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\logarithm\g10_k2
logarithm,10,3,0,Log (x0),1.0,0.71584,0,[],[],,,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\logarithm\g10_k3
logarithm,10,3,1,Linear (x1),1.0,0.66245,2,"[0.2659, 0.6602]","[-0.5847989738471249, 0.39955716215651166]",0.2659,-0.5847989738471249,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\logarithm\g10_k3
logarithm,10,4,0,Log (x0),1.0,0.71583,0,[],[],,,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\logarithm\g10_k4
logarithm,10,4,1,Linear (x1),1.0,0.66245,3,"[0.19838, 0.58166, 0.75486]","[-0.7533602883360053, 0.20348480374483105, 0.635872535816426]",0.19838,-0.7533602883360053,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\logarithm\g10_k4
logarithm,10,5,0,Log (x0),1.0,0.71583,0,[],[],,,D:\pykan\github\workflows\Hyein\_workspace\sweep_models\logarithm\g10_k5
