func,grid,k,feature_idx,feature_name,test_r2,n_inflection,inflection_points_norm
exponential,100,3,1,Linear (x1),0.7214,5,"[0.29305562, 0.48387358, 0.56363595, 0.7600105, 0.8954576]"
exponential,100,4,0,Exponent (x0),0.7909,10,"[0.15339318, 0.17641918, 0.25733694, 0.3932249, 0.4331551, 0.51247704, 0.70144963, 0.73462343, 0.81716007, 0.9]"
exponential,100,4,1,Linear (x1),0.7909,0,[]
exponential,100,5,0,Exponent (x0),0.481,22,"[0.10545519, 0.13044569, 0.14399391, 0.17641918, 0.23613483, 0.2712988, 0.2921076, 0.36643958, 0.41553897, 0.46695694, 0.5423251, 0.56599146, 0.59474057, 0.62208766, 0.6751823, 0.7078918, 0.7522647, 0.76920265, 0.7915748, 0.82633287, 0.87093824, 0.9]"
exponential,100,5,1,Linear (x1),0.481,21,"[0.15635474, 0.1879643, 0.22227474, 0.2847158, 0.3246913, 0.40776888, 0.4218357, 0.46252346, 0.49758163, 0.55099314, 0.56363595, 0.58845973, 0.6096993, 0.64251864, 0.6602026, 0.69796956, 0.7361721, 0.7548603, 0.7943798, 0.83550954, 0.8954576]"
log2,3,2,0,Log (x0),0.9999,0,[]
log2,3,2,1,Linear (x1),0.9999,0,[]
log2,3,3,0,Log (x0),1.0,2,"[0.36062765, 0.6459112]"
log2,3,3,1,Linear (x1),1.0,1,[0.10143405]
log2,3,4,0,Log (x0),1.0,2,"[0.36062765, 0.6459112]"
log2,3,4,1,Linear (x1),1.0,1,[0.10143405]
log2,3,5,0,Log (x0),1.0,2,"[0.1, 0.6459112]"
log2,3,5,1,Linear (x1),1.0,2,"[0.39616004, 1.1661886]"
log2,5,2,0,Log (x0),1.0,2,"[0.25138542, 0.4225468]"
log2,5,2,1,Linear (x1),1.0,0,[]
log2,5,3,0,Log (x0),1.0,3,"[0.1, 0.4225468, 0.7424341]"
log2,5,3,1,Linear (x1),1.0,1,[0.10143405]
log2,5,4,0,Log (x0),1.0,3,"[0.1, 0.4225468, 0.7424341]"
log2,5,4,1,Linear (x1),1.0,1,[0.10143405]
log2,5,5,0,Log (x0),1.0,1,[0.7424341]
log2,5,5,1,Linear (x1),1.0,2,"[0.9, 1.0597131]"
log2,7,2,0,Log (x0),1.0,1,[0.44887602]
log2,7,2,1,Linear (x1),1.0,0,[]
log2,7,3,0,Log (x0),1.0,2,"[0.44887602, 0.69315565]"
log2,7,3,1,Linear (x1),1.0,2,"[0.10143405, 0.7899304]"
log2,7,4,0,Log (x0),1.0,2,"[0.44887602, 0.78793764]"
log2,7,4,1,Linear (x1),1.0,1,[0.10143405]
log2,7,5,0,Log (x0),1.0,3,"[0.44887602, 0.69315565, 0.9]"
log2,7,5,1,Linear (x1),1.0,1,[1.0140808]
log2,10,2,0,Log (x0),1.0,1,[0.4225468]
log2,10,2,1,Linear (x1),1.0,0,[]
log2,10,3,0,Log (x0),1.0,2,"[0.4225468, 0.82633287]"
log2,10,3,1,Linear (x1),1.0,1,[0.10143405]
log2,10,4,0,Log (x0),1.0,2,"[0.4225468, 0.9]"
log2,10,4,1,Linear (x1),1.0,0,[]
log2,10,5,0,Log (x0),1.0,3,"[0.1, 0.25138542, 0.59474057]"
log2,10,5,1,Linear (x1),1.0,2,"[0.8261582, 0.97985655]"
log2,15,2,0,Log (x0),1.0,1,[0.4225468]
log2,15,2,1,Linear (x1),1.0,0,[]
log2,15,3,0,Log (x0),1.0,2,"[0.4225468, 0.8486679]"
log2,15,3,1,Linear (x1),1.0,1,[0.10143405]
log2,15,4,0,Log (x0),1.0,1,[0.4225468]
log2,15,4,1,Linear (x1),1.0,0,[]
log2,15,5,0,Log (x0),1.0,1,[0.25138542]
log2,15,5,1,Linear (x1),1.0,1,[0.8533765]
log2,20,2,0,Log (x0),,1,[0.46695694]
log2,20,2,1,Linear (x1),,0,[]
log2,20,3,0,Log (x0),,1,[0.4225468]
log2,20,3,1,Linear (x1),,1,[0.10143405]
log2,20,4,0,Log (x0),,1,[0.4225468]
log2,20,4,1,Linear (x1),,0,[]
