Acc. Surface Area [m^2/g],Void Fraction,PLD,LCD,Density,Channel Volume,Pressure [kPa],H_ads [kJ/mol]
4329.46,0.720521,8.4097,12.82088,0.501197,1744.7,1.0,-1890.3651123046875
4168.12,0.797767,11.92604,14.67199,0.487667,6672.51,1.0,-1732.7188720703125
413.127,0.239052,3.542,4.89887,1.46977,21.8533,1.0,-3318.123291015625
967.553,0.394775,3.57517,4.88751,1.34317,47.0813,1.0,-2780.641357421875
2779.87,0.745323,10.34382,11.97001,0.684168,1253.74,1.0,-1847.234130859375
1347.19,0.61191,4.71496,5.7847,1.18304,73.1103,1.0,-3154.8056640625
2694.59,0.656706,6.32301,11.23999,0.766374,1156.17,1.0,-2006.9622802734375
3844.83,0.765396,8.90751,11.35134,0.580216,1074.65,1.0,-1884.025390625
312.707,0.245296,3.33772,4.56315,1.49512,15.1718,1.0,-3772.66552734375
3671.45,0.666292,5.13032,7.30399,0.667266,784.38,1.0,-2297.594970703125
301.22,0.260641,3.39297,4.60788,1.44099,7.57343,1.0,-3984.267822265625
986.812,0.484152,3.70618,7.25448,1.39693,169.329,1.0,-2996.2021484375
865.937,0.347208,4.43894,5.70697,1.27746,77.5931,1.0,-3353.133544921875
1562.19,0.494739,4.45585,5.8758,0.950796,371.858,1.0,-2939.443115234375
3019.59,0.762186,9.09565,16.19671,0.657643,4659.27,1.0,-1600.4310302734375
48.4283,0.104273,3.42455,4.38792,2.93242,1.95881,1.0,-3127.926025390625
649.027,0.283153,4.58702,5.54204,1.63322,23.91,1.0,-2418.962890625
5409.61,0.84865,10.78389,14.83024,0.343559,3491.36,1.0,-1254.555419921875
531.31,0.310236,5.2054,7.29017,1.68765,162.522,1.0,-2883.146484375
5291.11,0.860082,10.23672,13.38242,0.361322,3294.72,1.0,-1688.98583984375
189.421,0.235998,3.71608,4.27749,3.21024,11.5181,1.0,-3283.342529296875
2378.14,0.703077,6.84994,10.98195,0.911669,1373.73,1.0,-1802.37646484375
741.962,0.365533,3.43007,4.67603,1.12552,18.5698,1.0,-3414.46630859375
6100.69,0.884318,10.87416,15.07499,0.283661,3544.81,1.0,-1263.5291748046875
3947.71,0.714924,6.36965,8.24529,0.622801,708.323,1.0,-1914.6539306640625
2728.48,0.723254,7.96294,8.47215,0.759196,476.988,1.0,-1863.498046875
160.368,0.115365,3.93054,5.00175,2.03099,22.4679,1.0,-3207.90625
2701.34,0.769652,30.58143,30.91872,0.374851,3672.3,1.0,-1228.8973388671875
1515.76,0.539596,6.19086,8.96299,1.12783,1408.55,1.0,-1984.484619140625
584.911,0.26944,4.15297,6.18217,1.34744,105.281,1.0,-2740.290771484375
1356.36,0.561402,3.90305,8.42074,1.24828,395.071,1.0,-2708.0869140625
685.579,0.389679,4.11643,4.71674,1.51245,18.637,1.0,-3420.479736328125
2340.21,0.718719,11.45823,12.19857,0.696163,556.464,1.0,-2465.742919921875
290.309,0.189549,3.33376,4.10283,1.58223,5.42462,1.0,-3227.15625
2108.26,0.6874,6.57139,9.95725,0.989445,1262.9,1.0,-2445.083984375
3781.23,0.81819,8.50523,15.93029,0.554634,5274.7,1.0,-1539.00146484375
977.329,0.491257,4.40863,6.32537,1.98266,308.68,1.0,-2257.053466796875
3035.93,0.819334,20.69441,21.18161,0.434965,2164.33,1.0,-1974.041015625
1719.66,0.618223,4.82071,5.87351,1.01364,92.6559,1.0,-3202.65234375
1580.94,0.464702,4.19387,6.55669,1.03683,216.912,1.0,-2357.0224609375
941.769,0.479499,5.58868,6.78974,1.32037,82.8716,1.0,-2902.580810546875
4170.47,0.807724,11.75285,15.39921,0.415481,2526.65,1.0,-1347.4903564453125
827.4,0.451898,3.46764,7.06623,1.43717,125.88,1.0,-3339.88623046875
438.165,0.244843,3.47359,4.27931,1.31179,6.57566,1.0,-3427.28369140625
332.018,0.426281,3.63671,4.06011,1.77026,6.60665,1.0,-4598.75
1960.65,0.63522,5.18147,6.12988,0.941318,129.438,1.0,-3100.328857421875
535.91,0.304746,3.33865,5.3195,1.37332,34.687,1.0,-3564.379150390625
462.26,0.251751,3.7803,4.52383,1.48798,9.00926,1.0,-3350.764404296875
410.107,0.246603,3.62621,4.39335,1.38542,16.9703,1.0,-3611.151123046875
5014.54,0.85018,10.0493,13.67157,0.383701,2787.82,1.0,-1493.146240234375
1404.3,0.600831,21.74744,22.01347,0.729541,1216.39,1.0,-1108.0771484375
1997.72,0.575582,11.18946,11.72914,0.828591,1036.85,1.0,-2061.181884765625
3449.54,0.818158,15.59844,17.21141,0.513717,2987.22,1.0,-1887.662353515625
1866.38,0.459968,6.20048,6.67034,0.86163,111.576,1.0,-1975.440185546875
389.53,0.425429,3.31912,4.60777,1.22342,9.9534,1.0,-3125.755615234375
623.968,0.269203,4.30625,4.62098,1.31673,38.0103,1.0,-3135.698486328125
1767.86,0.631276,7.68907,7.89527,0.913948,201.765,1.0,-2670.622802734375
