Acc. Surface Area [m^2/g],Void Fraction,PLD,LCD,Density,Channel Volume,Pressure [kPa],H_ads [kJ/mol],CO2 Uptake [g/g]
4797.69,0.750479,5.59261,7.14616,0.572848,867.703,1.0,-1828.7259521484375,0.7586163878440857
3627.32,0.784157,6.91898,12.68724,0.600983,2860.87,1.0,-1756.51513671875,0.41652214527130127
977.214,0.378013,3.65801,5.1825,1.22935,115.155,1.0,-2819.875,0.7939682602882385
2477.8,0.582859,5.08234,7.22032,0.881489,371.27,1.0,-2155.236328125,0.5865245461463928
5298.24,0.890719,12.08293,18.60066,0.333653,5932.81,1.0,-1163.74658203125,0.2160441130399704
4449.41,0.853468,10.33931,16.30612,0.391557,3341.93,1.0,-1392.5858154296875,0.23750810325145721
3197.23,0.631566,5.71265,6.62477,0.745787,342.797,1.0,-2426.45849609375,1.378303050994873
2509.65,0.617416,5.99643,7.92312,0.827335,348.229,1.0,-2122.112060546875,0.6726676821708679
5592.45,0.809915,9.12041,11.15601,0.394036,2845.04,1.0,-1390.078369140625,0.29848527908325195
6044.03,0.88209,11.90508,18.41802,0.274788,4727.74,1.0,-1275.4566650390625,0.314153254032135
1155.73,0.466679,6.12478,6.82798,1.14378,101.104,1.0,-2783.599853515625,2.0749521255493164
732.637,0.388915,4.07472,4.3677,1.33418,14.7449,1.0,-3583.674072265625,8.303950309753418
2630.98,0.588562,5.76746,6.81674,0.761637,420.424,1.0,-2827.05712890625,0.9149381518363953
520.365,0.256285,3.88232,4.45765,1.38529,15.5167,1.0,-3303.20361328125,2.188406467437744
2437.21,0.722869,8.70286,9.66424,0.713157,419.173,1.0,-2372.994873046875,1.3942402601242065
5246.22,0.789707,9.71551,11.26351,0.404102,1731.19,1.0,-1554.3319091796875,0.33509042859077454
986.115,0.371295,7.41172,9.58012,1.21523,625.532,1.0,-1922.3563232421875,0.12870588898658752
369.537,0.172195,3.59174,4.32452,1.35617,8.05492,1.0,-3365.34619140625,1.4344817399978638
226.763,0.160204,3.53502,4.39043,1.55827,17.4951,1.0,-3499.702880859375,1.334585189819336
230.222,0.184431,3.90773,4.30291,1.37973,22.7429,1.0,-3881.98779296875,3.8553688526153564
2149.05,0.589953,4.77059,5.91231,0.954609,344.474,1.0,-2434.054443359375,1.3565105199813843
3380.17,0.708333,6.37819,10.0828,0.737696,1044.47,1.0,-1513.58447265625,0.19493061304092407
2439.54,0.64266,4.46185,8.84358,0.870869,561.822,1.0,-2525.444580078125,2.0879788398742676
3143.91,0.658243,5.48542,7.41173,0.784229,946.085,1.0,-2199.615478515625,0.9351721405982971
1611.11,0.520447,4.00055,6.02697,1.09325,325.384,1.0,-3011.221435546875,2.427708148956299
3440.29,0.69073,5.42974,7.71828,0.701381,996.37,1.0,-2553.662841796875,1.970331072807312
132.081,0.132091,3.68497,4.19547,2.03111,5.4432,1.0,-3345.999267578125,0.2969657778739929
1737.08,0.676129,10.41874,10.75057,0.965782,441.989,1.0,-1953.0694580078125,0.4262889325618744
2703.48,0.717203,13.23809,13.64979,0.594785,859.08,1.0,-2367.95556640625,0.8656678795814514
1413.79,0.494744,4.38404,6.43021,1.03557,95.8967,1.0,-3327.009765625,4.579854488372803
2539.11,0.642452,5.47848,11.28324,0.802661,1075.87,1.0,-1906.6900634765625,0.406238853931427
5464.57,0.907075,14.68596,17.04907,0.26818,10284.7,1.0,-1108.8541259765625,0.20132428407669067
386.243,0.205148,3.84845,5.81821,1.4358,51.7063,1.0,-2997.576416015625,0.7485015988349915
2136.08,0.713122,6.36208,12.34916,1.03173,1337.53,1.0,-1488.8082275390625,0.1534244865179062
371.96,0.229092,4.23004,4.96735,1.9839,31.1586,1.0,-2812.1845703125,0.4949634075164795
827.514,0.446166,3.93992,4.67093,1.1825,23.5519,1.0,-3812.802734375,22.077362060546875
4672.62,0.818789,10.47578,14.5492,0.421448,3051.49,1.0,-1710.6221923828125,0.4833245873451233
1902.83,0.551202,4.75454,7.8725,0.941513,216.99,1.0,-2263.04150390625,0.7103202939033508
712.517,0.281592,4.08357,6.86415,1.1794,86.5373,1.0,-2688.92724609375,1.1239675283432007
1325.34,0.510493,3.56362,11.49673,1.10616,490.73,1.0,-1945.8175048828125,0.3545724153518677
2161.2,0.575307,3.80861,7.08398,0.907793,233.069,1.0,-2669.883544921875,1.6209012269973755
1010.38,0.488132,4.74496,5.38728,1.04743,40.8371,1.0,-3866.65576171875,8.231538772583008
640.764,0.306198,3.59539,5.10411,1.27516,11.8074,1.0,-3375.05078125,3.201937675476074
2859.62,0.689018,7.18074,10.08037,0.725803,711.609,1.0,-2176.41748046875,0.7408580183982849
845.297,0.219273,4.42518,5.18017,0.977715,77.7676,1.0,-2494.78759765625,0.3267497420310974
6681.0,0.959796,25.83458,27.19613,0.107681,32921.8,1.0,-721.5194091796875,0.30010461807250977
3327.88,0.717951,5.58933,8.45106,0.700831,501.565,1.0,-2114.097900390625,0.8568694591522217
2352.15,0.626506,13.28878,15.13677,0.77125,3382.71,1.0,-2223.1611328125,0.43706828355789185
1946.53,0.620216,19.98833,20.33657,0.586948,1128.81,1.0,-1309.171875,0.10778167098760605
1208.79,0.478435,5.47677,6.26825,1.19298,119.482,1.0,-2709.631591796875,1.8858851194381714
3687.08,0.693719,7.67445,11.26188,0.543492,1843.93,1.0,-2013.7430419921875,0.47221747040748596
637.523,0.270163,4.82155,5.44654,1.40228,88.5499,1.0,-2720.02783203125,0.5306853652000427
3738.29,0.778622,8.52778,14.47928,0.550748,2964.76,1.0,-1433.9691162109375,0.19431418180465698
