Current density (A/cm2),Voltage (V),Faradaic efficiency,CO conversion,Crossover rate,Capture energy (MJ/kgCO2),Electricity price (USD/kWh),Membrane cost (USD/m2)
-0.05434687856828699,-0.0023905316842086763,0.031353066645054196,0.014018511495090168,0.00042432975569272474,-0.0012173992766199293,-0.04907706175280881,0.0009085178563630632
-0.043718600501153414,-0.002459204293809668,-0.10439788713393743,0.00782797402052836,-0.00014096047419936975,0.00019883498754665486,0.013236197000819017,0.0017834851488157145
0.1884925146066137,-0.006932788880369337,0.0787515124756401,-0.018053590177904397,0.0,-0.0011431937993774122,-0.04215103392038842,0.0018871053365342786
-0.10575416354321354,-0.002602576212064297,-0.0016983802538253691,0.009330646099532873,0.00018275231572758083,8.346577057269378e-05,0.016787304884959248,0.0015431328075151225
0.03203455138788582,0.014054328738234098,0.03686773032669112,0.00718151629250631,-0.0002678443799808278,-0.0012429829878699086,0.017817896527523688,-0.0006685803805073254
-0.0598564268540701,-0.009208238283002008,-0.09904486824578486,0.0009659600844992907,0.0004310520938413942,-0.0013996009764348318,0.040418050947795395,0.0010084741171765602
0.05342946323963819,-0.011750488393076085,0.13785313775695449,0.004576370585918105,0.00013921420397297601,0.0020228161384836046,0.04464507614828604,-0.0027699299295120155
0.1279908413364604,-0.009231237008017474,-0.07489224277841676,0.0052637655457919656,6.408776543284644e-05,0.0006193584344603541,0.04795935911043305,0.0018709950765785604
-0.023358123348383258,-0.010835084580802767,-0.05380950147819595,-0.0027449325105116155,0.00024682521594850126,-0.0018244038065640287,0.006978065550947907,0.0007967708445906265
-0.1246114024378538,0.007714437220495836,0.060649696068064335,-0.004772016608917873,-0.00018772710457376496,0.002378870060955242,0.004521324038991717,0.002029098573423471
-0.027149416207406456,0.001126719338161798,-0.01452202907840589,0.004570150432868043,-0.0004619174307810458,-0.0013669480600293203,0.002262024005385137,-0.000404058646093608
0.19360026802304217,-0.00576629720578958,0.14200546808373096,-0.007844209863025746,5.0253841625047535e-05,-0.0010650634518357448,-0.009553092165142666,-0.0022703962754441124
-0.13654947729960443,0.002301088386376842,0.06553860772409754,0.004839150004896095,6.292453955467764e-05,0.001515592341012088,0.04738107597244975,-0.0008349028125039236
0.025606791698695473,-0.010804622722723572,-0.10556785952962722,0.012879696595939275,-0.000171867058360739,0.00042987379625682165,-0.012900919073539881,0.002150985942957319
